	sampleid	data.cluster
HC1417	HC1417	1
HC1418	HC1418	1
HC1419	HC1419	1
HC1420	HC1420	1
HC1421	HC1421	1
HC1422	HC1422	1
HC1423	HC1423	2
HC1424	HC1424	1
HC1425	HC1425	1
HC1426	HC1426	1
HC1427	HC1427	3
HC1428	HC1428	1
HC1429	HC1429	1
HC1430	HC1430	2
HC1431	HC1431	1
HC1432	HC1432	1
HC1433	HC1433	1
HC1434	HC1434	1
HC1435	HC1435	2
HC1436	HC1436	1
HC1437	HC1437	2
HC1438	HC1438	1
HC1439	HC1439	1
HC1440	HC1440	1
HC1441	HC1441	1
HC1442	HC1442	1
HC1443	HC1443	2
HC1444	HC1444	2
HC1445	HC1445	1
HC1446	HC1446	2
HC1447	HC1447	3
HC1448	HC1448	1
HC1449	HC1449	1
HC1450	HC1450	2
HC1451	HC1451	1
HC1452	HC1452	2
HC1453	HC1453	1
HC1454	HC1454	1
HC1455	HC1455	1
HC1456	HC1456	1
HC1457	HC1457	1
HC1458	HC1458	1
HC1459	HC1459	1
HC1460	HC1460	2
HC1461	HC1461	2
HC1462	HC1462	2
HC1463	HC1463	1
HC1464	HC1464	1
HC1465	HC1465	1
HC1466	HC1466	1
HC1467	HC1467	1
HC1468	HC1468	3
HC1469	HC1469	1
HC1470	HC1470	3
HC1471	HC1471	1
HC1472	HC1472	1
HC1473	HC1473	2
HC1474	HC1474	1
HC1475	HC1475	1
HC1476	HC1476	1
HC1477	HC1477	1
HC1478	HC1478	1
HC1479	HC1479	1
HC1480	HC1480	1
HC1481	HC1481	1
HC1482	HC1482	3
HC1483	HC1483	3
HC1484	HC1484	3
HC1485	HC1485	1
HC1486	HC1486	1
HC1487	HC1487	1
HC1488	HC1488	1
HC1489	HC1489	1
HC1490	HC1490	1
HC1491	HC1491	3
HC1492	HC1492	1
HC1493	HC1493	2
HC1494	HC1494	1
HC1495	HC1495	1
HC1496	HC1496	2
HC1497	HC1497	1
HC1498	HC1498	2
HC1499	HC1499	2
HC1500	HC1500	1
HC1501	HC1501	2
HC1502	HC1502	1
HC1503	HC1503	1
HC1504	HC1504	1
HC1505	HC1505	2
HC1506	HC1506	1
HC1507	HC1507	1
HC1508	HC1508	2
HC1509	HC1509	1
HC1510	HC1510	1
HC1511	HC1511	3
HC1512	HC1512	3
HC1513	HC1513	2
HC1514	HC1514	2
HC1515	HC1515	1
HC1516	HC1516	1
HC1517	HC1517	1
HC1518	HC1518	1
HC1519	HC1519	1
HC1520	HC1520	1
HC1521	HC1521	1
HC1522	HC1522	1
HC1523	HC1523	1
HC1524	HC1524	1
HC1525	HC1525	1
HC1526	HC1526	1
HC1527	HC1527	1
HC1528	HC1528	1
HC1529	HC1529	2
HC1530	HC1530	2
HC1531	HC1531	1
HC1532	HC1532	2
HC1533	HC1533	1
HC1534	HC1534	1
HC1535	HC1535	1
HC1536	HC1536	2
HC1537	HC1537	1
HC1538	HC1538	1
HC1539	HC1539	1
HC1540	HC1540	1
HC1541	HC1541	1
HC1542	HC1542	1
HC1543	HC1543	1
HC1544	HC1544	1
HC1545	HC1545	1
HC1546	HC1546	1
HC1547	HC1547	1
HC1548	HC1548	1
HC1549	HC1549	3
HC1550	HC1550	1
HC1551	HC1551	2
HC1552	HC1552	1
HC1553	HC1553	1
HC1554	HC1554	1
HC1555	HC1555	2
HC1556	HC1556	1
HC1557	HC1557	1
HC1558	HC1558	2
HC1559	HC1559	2
HC1560	HC1560	1
HC1561	HC1561	1
HC1562	HC1562	1
HC1563	HC1563	1
HC1564	HC1564	1
HC1565	HC1565	2
HC1701	HC1701	1
HC1702	HC1702	1
HC1703	HC1703	1
HC1704	HC1704	1
HC1705	HC1705	1
HC1706	HC1706	3
HC1708	HC1708	1
HC1709	HC1709	1
HC1711	HC1711	3
HC1713	HC1713	3
HC1714	HC1714	3
HC1715	HC1715	3
HC1716	HC1716	3
HC1718	HC1718	3
HC1719	HC1719	2
HC1720	HC1720	3
HC1721	HC1721	1
HC1800	HC1800	1
HC1801	HC1801	2
HC1808	HC1808	3
HC1809	HC1809	1
HC1820	HC1820	2
HC1821	HC1821	2
HC1888	HC1888	1
HC2001	HC2001	1
HC2004	HC2004	1
HC2005	HC2005	1
HC2006	HC2006	1
HC2008	HC2008	1
HC2009	HC2009	2
HC2010	HC2010	1
HC2012	HC2012	1
HC2013	HC2013	2
HC2014	HC2014	1
HC2015	HC2015	1
HC2016	HC2016	1
HC2017	HC2017	1
HC2018	HC2018	3
HC2019	HC2019	1
HC2020	HC2020	2
HC2021	HC2021	2
HC2023	HC2023	2
HC2024	HC2024	1
HC2026	HC2026	2
HC2027	HC2027	1
HC2029	HC2029	1
HC2030	HC2030	1
HC2033	HC2033	1
HC2034	HC2034	1
HC2038	HC2038	2
HC2042	HC2042	1
HC2045	HC2045	1
HC2046	HC2046	2
HC2047	HC2047	3
HC2049	HC2049	1
HC2054	HC2054	1
HC2055	HC2055	1
HC2056	HC2056	1
HC2057	HC2057	1
HC2058	HC2058	1
HC2059	HC2059	1
HC2061	HC2061	1
HC2062	HC2062	1
HC2064	HC2064	1
HC2066	HC2066	1
HC2067	HC2067	1
HC2069	HC2069	1
HC2070	HC2070	1
HC2072	HC2072	1
HC2076	HC2076	1
HC4001	HC4001	3
HC4002	HC4002	3
HC4003	HC4003	3
HC4004	HC4004	1
HC4005	HC4005	3
HC4006	HC4006	3
